Ti-200-24hre-1 (1st measurement),,Ti-200-24hre-1 (2nd measurement),,Ti-200-24hre-2 (1st measurement),
s,V,s,V,s,V
340,-0.002203345,340,-0.033609867,340,-0.027328491
341,-0.002203345,341,-0.03389132,341,-0.027328491
342,-0.002203345,342,-0.034266114,342,-0.027328491
343,-0.002203345,343,-0.034547567,343,-0.027328491
344,-0.002203345,344,-0.034641266,344,-0.027328491
345,-0.002203345,345,-0.034734964,345,-0.027328491
346,-0.002203345,346,-0.034922361,346,-0.027234793
347,-0.002203345,347,-0.035297513,347,-0.027234793
348,-0.002297044,348,-0.035578609,348,-0.027234793
349,-0.002297044,349,-0.035860062,349,-0.027234793
350,-0.002297044,350,-0.036047459,350,-0.027234793
351,0.155768037,351,0.091829538,351,0.127267599
352,0.155861735,352,0.091642141,352,0.127454996
353,0.156142831,353,0.09126699,353,0.127923846
354,0.156611681,354,0.090704441,354,0.128580093
355,0.156986833,355,0.089767098,355,0.12876749
356,0.15717423,356,0.0887357,356,0.128861189
357,0.157267928,357,0.087892056,357,0.128861189
358,0.157361627,358,0.086766958,358,0.128955245
359,0.157455683,359,0.085454464,359,0.129236341
360,0.157549381,360,0.084423065,360,0.129423738
361,0.15764308,361,0.083392024,361,0.129611492
362,0.157736778,362,0.082266927,362,0.129798889
363,0.157830477,363,0.080954432,363,0.129986286
364,0.157924175,364,0.079923034,364,0.130079985
365,0.157924175,365,0.079173088,365,0.130173683
366,0.158017874,366,0.077954292,366,0.130173683
367,0.158017874,367,0.077110648,367,0.130267739
368,0.158017874,368,0.076266646,368,0.130267739
369,0.157924175,369,0.075047851,369,0.130267739
370,0.157924175,370,0.074297905,370,0.130267739
371,0.157736778,371,0.073266864,371,0.130267739
372,0.157736778,372,0.072141767,372,0.130267739
373,0.15764308,373,0.071297765,373,0.130361438
374,0.157549381,374,0.070360422,374,0.130361438
375,0.157549381,375,0.069235325,375,0.130361438
376,0.157455683,376,0.068579078,376,0.130361438
377,0.157361627,377,0.067360282,377,0.130361438
378,0.157361627,378,0.066610336,378,0.130361438
379,0.157267928,379,0.065766692,379,0.130361438
380,0.157267928,380,0.064641595,380,0.130361438
381,0.157267928,381,0.063985348,381,0.130361438
382,0.15717423,382,0.062953949,382,0.130361438
383,0.15717423,383,0.062204003,383,0.130361438
384,0.15717423,384,0.061266661,384,0.130361438
385,0.15717423,385,0.060422659,385,0.130361438
386,0.15717423,386,0.059672713,386,0.130361438
